考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,18,關於不動產、廠房及設備之折舊與無形資產之攤銷，下列敘述何者正確？,採重估價模式時無須提列折舊與攤銷,無法決定未來經濟效益之消耗型態時，應以直線法提列折舊與攤銷,以使用所產生收入為基礎得為適當之攤銷方法,分類為待出售(或包括於分類為待出售之處分群組中)後仍須提列折舊與攤銷直至資產除列,A
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,19,下列各類的債務工具投資中，債務工具投資的評價損益對權益的影響何者正確？ 透過損益按公允 透過其他綜合損益 價值衡量 按公允價值衡量 按攤銷後成本衡量,會 會 會,會 會 不會,會 不會 不會,不會 不會 會,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,20,"芒果報紙在 9 月 1 日出售了3,000 份訂閱一年期的報紙，一份$600。12 月31 日報表上應有多 少遞延收入？",$0,"$1,800,000","$600,000","$1,200,000",D
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,21,下列對於溢價發行公司債之敘述何者正確？,應付公司債發行日之市場利率低於票面利率,應付公司債溢價分攤至各付息期間，使得每一期利息費用將逐期增加,應付公司債發行日之票面利率低於市場利率,發行價格低於票面金額,B
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,22,"甲公司於 X0 年初開始設立，預計發行 150,000 股，每股面額$10，X0 年公司發生下列交易： （1）發行100,000 股普通股，每股發行價格為$20。 （2）發行12,000 股普通股取得一自用不動產，發行時普通股之市價為每股$26，該設備之公允 價值為$360,000。 X0 年底時公司之股東權益應有之金額為：","$2,408,000","$2,360,000","$2,312,000","$2,260,000",A
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,23,"乙公司於 103 年 1 月1 日有 350,000 股，面額 $10 的普通股流通在外。4 月1 日時，乙公司額 外於公開市場發行 400,000 股，每股價格$15。5 月1 日發放 30%的股票股利。7 月1 日購回 225,000 股，並立即註銷。10 月1 日以$20發行350,000 股。試問103 年加權平均流通在外股 數為若干？","775,000","785,000","820,000","1,100,000",C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,24,Y公司在一銷售合約中將甲、乙、丙商品以$550 之價格打包在一起出售，惟公司亦經常個別地 單獨銷售甲、乙及丙三項商品，故其單獨售價均可直接觀察而得，且公司經常以$400 一起銷售 乙及丙商品。另甲、乙及丙商品的單獨報價分別為$150、$300 及$150。 試問分攤至甲、乙及丙商品的銷貨收入應分別為多少？,$148.6、$300、$101.4,$150、$233、$167,$150、$250.4、$149.6,$150、$267、$133,B
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,25,"伯穎公司分紅計畫規定之紅利金額為當年度稅前淨利之 3%，估計人員流動將使支付比例降低至 2.5%。該紅利將於次年度4 月底發放，若員工於發放前離職，將無法獲得任何分紅。X4 年度未 考慮當年分紅前之稅前淨利為$400,000。請問該公司於 X4 年度應認列之紅利負債金額為何？","$12,000","$11,650","$10,000","$9,756",B
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,26,發行股票換取專利權，在現金流量表中應表達為：,投資活動之現金流出,理財活動之現金流入,不影響現金流量之重大投資及籌資活動,不必揭露,D
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,27,根據目前財務會計準則，下列何者不是追溯適用及追溯重編之影響數項目？,更正前期財務報表錯誤,初次辦理公開發行而改變會計政策,不動產、廠房及設備耐用年限之估計變動,存貨計價方法由後進先出法改為加權平均法,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,28,下列哪一項錯誤不會在兩個會計期間內自動抵銷？,應付薪資漏記,折舊漏記,期末存貨高估,預付費用漏記,C
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,1,"甲公司將其價值 5,000萬的應收帳款賣給資產管理公司，但甲公司仍須承擔這筆應收帳款的信 用風險，甲公司將此出售應收帳款的交易，於現金流量中列為增加營業活動現金流量的調整項 目。請問在財務分析上，你認為甲公司的現金流量表是否需做調整？如需做調整，應如何做調 整？並請說明原因。(10 分)",,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,2,下列為甲公司第 1 年至第3 年的相關財務比率： 稅 總 前 負 資 所 息 淨 債 產 得 前 利 權 週 稅 淨 率 益 轉 率 利 比 率 率 2 第 年1,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,1,3,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,8,9 0 %,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,0,1 0 3 5 % 8 0 % % 1 第 年2,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,1,2 9,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,8,6 0 %,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,9,9 0 3 5 % 9 0 % % 1 第 年3,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,1,2 9,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,8,6 0 %,,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,9,8 0 % 3 5 % 1 1 0 % 請依照上述資訊，計算各年度之權益報酬率(Return on Equity)，並說明造成權益報酬率趨勢變 動的主要原因為何？(10 分),,,,,
113 年第 3 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,3,"以下為乙公司 x1 年至 x4 年的部分財務報表資訊，請討論這段期間內乙公司採用何種措施藉以 改善其營運活動的效率？(10 分) 銷 應 應 銷 貨 購 存 收 付 貨 成 貨 貨 帳 帳 本 款 款 8 5 5 2 3 1 x ,6 ,3 ,2 ,5 ,4 ,9 1 1 0 5 2 9 1 4 4 7 5 1 3 9 5 5 2 3 2 x ,2 ,6 ,5 ,4 ,7 ,1 2 1 2 7 7 2 0 7 2 2 5 8 2 9 6 6 2 3 2 x ,8 ,0 ,0 ,4 ,9 ,3 3 6 7 1 2 2 1 2 2 8 1 8 1 x 4 1 0 ,5 5 3 6 ,6 7 9 6 ,6 2 0 2 ,3 6 2 4 ,3 5 2 2 ,5 3 9 113 年第 3 次",,,,,
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,1,當國際收支出現大幅逆差時，央行如何採取「沖銷式外匯干預」？,買進外匯、賣出債券,買進外匯、買進債券,賣出外匯、賣出債券,賣出外匯、買進債券,A
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,2,下述何種貨幣政策工具，可能無法讓中央銀行完全控制準備貨幣水準？,公開市場買進債券,公開市場賣出債券,變動借入準備的數量,調整重貼現率,C
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,3,下列何者不是金融監督管理委員會底下的四大部門？,銀行,保險,證券期貨,金融重整,D
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,4,我國國發會所採用之景氣循環是採下列何者概念？,古典循環,新興市場國家循環,成長循環,開發中國家成長循環,A
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,5,在什麼情況下，通貨對活期存款的比率會上升？,稅率愈高，地下經濟活動愈猖獗,耐久財和金融資產交易量增加,電子貨幣快速發展,選項(C)皆正確,D
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,6,公務員退休金應計入？,民間消費,固定資本形成,政府最終消費支出,移轉性支出,C
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,7,下列有關財團法人金融消費評議中心的敘述何者有誤？,藉此建立金融消費爭議處理機制,強化金融紀律讓消費者各項金融投資保本,促進金融市場健全發展之立法目標,增進金融消費者對市場之信心,D
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,8,根據凱因斯的總合供需模型，實質工資率和景氣波動有：,正向關係,反向關係,兩者不相關,不一定,D
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,9,假設市場上一、二、三年期的即期利率分別為 1.5%、1.9%、2.2%，則依照預期理論，投資人預 期一年後的一年期遠期利率水準會等於：,1.95%,2.10%,2.30%,2.45%,C
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,10,一位上班族在某期的樂透彩中獲得 10 萬元獎金，觀察其獲獎後之一年，其生活消費並無顯著大 幅度變動，若該名上班族之行為符合恆常所得假說，則是因為何種現象導致而成？,所得替代效果,柏拉圖最適,有限理性,消費平滑性,D
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,11,短期總合供給線為正斜率是基於下列何種假設？,長期要素價格固定,要素價格比產出價格更有彈性,產出價格比要素價格更有彈性,要素價格彈性不論在長期或短期都是無窮大,B
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,12,其他條件不變下，若總合產出在 IS 線右上方，代表商品市場出現超額_______，因此產出會 _______。,供給；下降,供給；增加,需求；下降,需求；增加,D
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,13,借貸雙方在交易相關資訊上的差異稱為__________，因此在交易之前容易有_________問題， 在交易完成後也可能有_________問題。,資訊不對稱；逆選擇；風險分享,逆選擇；資訊不對稱；道德危險,資訊不對稱；道德危險；逆選擇,資訊不對稱；逆選擇；道德危險,A
113 年第 3 次證券投資分析人員資格測驗試題,總體經濟及金融市場,選擇題,14,根據市場區隔理論，當央行打算進行扭轉操作，拉高短期利率，並且降低長期利率，應該如何在 債券市場操作？,買進短期公債、賣出長期公債,買進長期公債、賣出短期公債,長期與短期公債皆買進,長期與短期公債皆賣出,A
